"021 C"
"Focus 2.0 Trend Automatic"
"Focus 2.0 Turnier Viva"
"Focus 2.0 Viva"
"Focus 2.0 Wagon"
"Focus 2.0 Zetec E"
"Focus 2.3"
"Focus 2.3 Wagon"
"Focus 2.5 RS"
"Focus 2.5 ST"
"Focus Clipper"
"Focus C-Max 1.6 Ambiente"
"Focus C-MAX 1.6 Ambiente"
"Focus C-Max 1.6 TDCi Ambiente"
"Focus C-Max 1.6 Ti-VCT Ambiente"
"Focus C-MAX 1.6 Ti-VCT Ambiente"
"Focus C-Max 1.8"
"Focus C-MAX 1.8 Duratec"
"Focus C-Max 1.8L Duratec"
"Focus C-Max 1.8 TDCi Ambiente"
"Focus C-MAX 1.8 Trend"
"Focus C-Max 2.0 TDCi Trend"
"Focus C-Max 2.0 Trend"
"Focus C-MAX 2.0 Trend"
"Focus Estate 1.4"
"Focus Estate 1.6"
"Focus Estate 1.6 TDCI"
"Focus Estate 2.0"
"Focus FR 200"
"Focus RS"
"Focus SE Sedan"
"Focus SE Wagon"
"Focus ST"
"Focus ST 170"
"Focus ST 170 Turnier"
"Focus ST 2.5"
"Focus Station Wagon"
"Focus SVT"
"Focus Turnier 1.4 Ambiente"
"Focus Turnier 1.6 Ambiente"
"Focus Turnier 1.6 TDCi"
"Focus Turnier 1.6 TDCi Ambiente"
"Focus Turnier 1.6 Ti-VCT Trend"
"Focus Turnier 1.8 TDCi Ambiente"
"Focus Turnier 2.0 TDCi"
"Focus Turnier 2.0 TDCi Trend"
"Focus Turnier 2.0 Trend"
"Focus Wagon"
"Focus ZTS"
"Focus ZX3 Comfort"
"Focus ZX3 S"
"Focus ZX3 SE"
"Focus ZX3 SES"
"Focus ZX4 2.2 ST"
"Focus ZX4 S"
"Focus ZX4 SE"
"Focus ZX4 SES"
"Focus ZX5"
"Focus ZX 5 Premium"
"Focus ZX5 S"
"Focus ZX5 SE"
"Focus ZX5 SES"
"Focus ZXW SE"
"FPV BF GT"
"Freestar"
"Freestar Cargo"
"Freestar Cargo Van"
"Freestar Wagon Limited"
"Freestar Wagon S"
"Freestar Wagon SE"
"Freestar Wagon SEL"
"Freestar Wagon SES"
"Freestyle"
"Freestyle 3.0"
"Freestyle Limited"
"Freestyle Limited 4WD"
"Freestyle Limited AWD"
"Freestyle SE"
"Freestyle SE AWD"
"Freestyle SEL"
"Freestyle SEL AWD"
"Fusion"
"Fusion 1.25 Ambiente"
"Fusion 1.4 Ambiente"
"Fusion 1.4 TDCi Ambiente"
"Fusion 1.6 Ambiente"
"Fusion 1.6 TDCi Ambiente"
"Fusion 2.2 SE"
"Fusion 2.2 SEL"
"Fusion 2.3 I4 S"
"Fusion 2.3 I4 SE"
"Fusion 2.3 I4 SEL"
"Fusion 2.3 S"
"Fusion 3.0 SE"
"Fusion 3.0 SEL 4WD"
"Fusion 3.0 V6 SE"
"Fusion 3.0 V6 SEL"
"Fusion Ambiente"
"Fusion S"
"Fusion SE"
"Fusion SEL"
"Fusion V6 SE"
"Fusion V6 SE 4WD"
"Fusion V6 SEL"
"Fusion V6 SEL 4WD"
"Fusion V6 SEL AWD"
"Galaxie"
"Galaxie 5.4"
"Galaxie 5.8"
"Galaxie Skyliner"
"Galaxy"
"Galaxy 1.0 TDi Ambiente"
"Galaxy 1.9 D"
"Galaxy 1.9 TDI Ambiente"
"Galaxy 1.9 TDI Trend"
"Galaxy 1.9 TDI Viva"
"Galaxy 2.0"
"Galaxy 2.0 Ambiente"
"Galaxy 2.0 Viva"
"Galaxy 2.2 Ambiente"
"Galaxy 2.3"
"Galaxy 2.3 16V Ambiente"
"Galaxy 2.3 Ambiente"
"Galaxy 2.3 Viva"
"Galaxy 2.8"
"Galaxy 2.8 CD V6 Viva"
"Galaxy 2.8 Trend"
"Galaxy 2.8 V6 Trend"
"Galaxy 500 Hardtop"
"Galaxy Ambiente"
"Galaxy TDI Ambiente"
"Galaxy TDI Trend"
"Galaxy V6 Ghia"
"Granada"
"Granada 2000 Estate"
"Granada 2.0i"
"Granada 2.0i Estate"
"Granada 2.0 MK II"
"Granada 2.0 MK III"
"Granada 2.0 MK III Station Wagon"
"Granada 2.1 Diesel"
"Granada 2.3 Diesel"
"Granada 2.3 MK II"
"Granada 2.3 MK III"
"Granada 2.3 MK III Station Wagon"
"Granada 2.4i Ghia"
"Granada 2.5 D MK III"
"Granada 2.5 D MK III Station Wagon"
"Granada 2.5 GL Turbo Diesel Saloon"
"Granada 2600"
"Granada 2800 Ghia S"
"Granada 2800i Ghia"
"Granada 2800i GLS Estate"
"Granada 2.8i"
"Granada 2.8 MK II"
"Granada 2.8 MK III"
"Granada 2.8 MK III Station Wagon"
"Granada 2.9i Ghia"
"Granada 3.0 GL Estate"
"Granada 4.1"
"Granada 4.2"
"Granada 4.9"
"Granada 5.8"
"Granada MK II"
"Granada MK III"
"Granada MK III Station Wagon"
"Granada MK II Station Wagon"
"Granada Saloon Automatic"
"Granada Scorpio 4x4"
"Granada Scorpio Cosworth"
"Gran Torino Hardtop"
"Gran Torino Sedan"
"Gran Torino Sport"
"Gran Torino Squire"
"Gran Torino Station Wagon"
"GT"
"GT 40"
"GT 40 Concept"
"GT 40 Mk II"
"GT 40 Mk III"
"GT 40 Mk IV"
"GT 40 MK IV"
"GT 500"
"GT 70"
"GT Coupe"
"Husky 2000 Bus"
"Ikon"
"Ikon 1.3i"
"Ikon 1.3i L"
"Ikon 1.3iL"
"Ikon 1.3i Lx"
"Ikon 1.3i LX"
"Ikon 1.4 TDCi Trend"
"Ikon 1.6i"
"Ikon 1.6i CLX"
"Ikon 1.6i Lx"
"Ikon 1.6i LX"
"Ikon 1.6 Trend"
"Indigo"
"Ka"
"Ka 1.2"
"Ka 1.3"
"Ka 1.3 Ambiente"
"Ka 1.3 Collection"
"Ka 1.3 Royal"
"Ka 1.3 TDCi"
"Ka 1.6"
"Ka 1.6 Sportka"
"Ka 1.6 Streetka"
"Ka 2"
"Ka Collection"
"Ka Grand Prix"
"Ka Royal"
"Ka Sportka"
"Ka Streetka"
"Kuga 2.0 TDCi"
"Laser"
"Laser 1.5"
"Laser 1.6"
"Laser 1.8"
"Laser 2.0"
"Libre"
"Limited Wagon"
"Lotus Cortina"
"LTD"
"LTD II S Hardtop"
"LTD Sedan"
"Lynx"
"Maverick"
"Maverick 2.0i 16V Highclass"
"Maverick 2.0i Highclass"
"Maverick 2.3"
"Maverick 2.3 Highclass"
"Maverick 2.7 D"
"Maverick 2.7 TD GLX 4x4"
"Maverick 2.8"
"Maverick 3.0i V6 Limited"
"Maverick 3.0 V6 Limited"
"Maverick 3.3"
"Maverick 4.1"
"Maverick 4.9"
"Maverick V6 Limited"
"Megastar II"
"Meteor"
"Meteor 1.5"
"Meteor 1.6"
"Model U"
"Monarch"
"Monarch 5.0"
"Mondeo"
"Mondeo 1.6 LX"
"Mondeo 1.6 LX Estate"
"Mondeo 1.8"
"Mondeo 1.8 Ambiente"
"Mondeo 1.8 Clipper"
"Mondeo 1.8 Estate"
"Mondeo 1.8 LX"
"Mondeo 1.8 LX Estate"
"Mondeo 1.8 SCi Ambiente"
"Mondeo 1.8 SCi Turnier Ambiente"
"Mondeo 1.8 Turnier Ambiente"
"Mondeo 2.0"
"Mondeo 2.0 Ambiente"
"Mondeo 2.0 Clipper"
"Mondeo 2.0 Ghia"
"Mondeo 2.0 TDCi"
"Mondeo 2.0 TDCi Ambiente"
"Mondeo 2.0 TDCi Turnier"
"Mondeo 2.0 TDCi Turnier Ambiente"
"Mondeo 2.0 TDDi Ambiente"
"Mondeo 2.0 TDDi Turnier Ambiente"
"Mondeo 2.0 Turbodiesel"
"Mondeo 2.0 Turbodiesel Estate"
"Mondeo 2.0 Turnier Ambiente"
"Mondeo 2.2 D Clipper"
"Mondeo 2.2 TDCi Ambiente"
"Mondeo 2.3 Duratec"
"Mondeo 2.3l Duratec"
"Mondeo 2.3 Turnier"
"Mondeo 2.5"
"Mondeo 2.5 Clipper"
"Mondeo 2.5 Trend"
"Mondeo 2.5 Turnier Trend"
"Mondeo 2.5 V6"
"Mondeo 2.5 V6 Trend"
"Mondeo 2.5 V6 Turnier Trend"
"Mondeo 3.0 Clipper"
"Mondeo 3.0 ST 220"
"Mondeo 3.0 ST 220 Turnier"
"Mondeo 3.0 Trend"
"Mondeo 3.0 V6 ST 220"
"Mondeo 3.0 V6 Trend"
"Mondeo Clipper"
"Mondeo Estate"
"Mondeo ST 200"
"Mondeo ST 220"
"Mondeo ST-220"
"Mondeo ST 220 Turnier"
"Mondeo ST-220 Turnier"
"Mustang"
"Mustang 2.3"
"Mustang 2.8"
"Mustang 3.3"
"Mustang 3.8"
"Mustang 4.3"
"Mustang 4.6"
"Mustang 4.7"
"Mustang 4.9"
"Mustang Boss"
"Mustang Boss 351"
"Mustang Bullitt"
"Mustang Bullitt GT"
"Mustang California Special GS"
"Mustang Cobra Jet"
"Mustang Cobra R"
"Mustang Convertible"
"Mustang Coupe"
"Mustang Deluxe Convertible"
"Mustang Deluxe Coupe"
"Mustang GT"
"Mustang GT 500"
"Mustang GT Automatic"
"Mustang GT Concept"
"Mustang GT Concept Convertible"
"Mustang GT Convertible"
"Mustang GT Coupe"
"Mustang GT Deluxe Convertible"
"Mustang GT Deluxe Coupe"
"Mustang GT Premium Convertible"
"Mustang GT Premium Coupe"
"Mustang GTR"
"Mustang Mach 1"
"Mustang Mach 1 289"
"Mustang Mach 1 302"
"Mustang Mach 1 351"
"Mustang Mach 1 Automatic"
"Mustang Premium Convertible"
"Mustang Premium Coupe"
"Mustang Q"
"Mustang S 281"
"Mustang Saleen S 281"
"Mustang SR"
"Mustang Super Stallion"
"Mustang SVO"
"Mustang V6"
"Mustang V6 Automatic"
"Mustang V6 Convertible"
"Mustang V6 Coupe"
"Mustang V6 Deluxe Convertible"
"Mustang V6 Deluxe Coupe"
"Mustang V6 Premium Convertible"
"Mustang V6 Premium Coupe"
"Mustang V6 Standard Convertible"
"Mustang V6 Standard Coupe"
"O21 C"
"Orion"
"Orion 1.3"
"Orion 1.3 GL"
"Orion 1.4"
"Orion 1.6"
"Orion 1.6 Diesel"
"Orion 1.6i Ghia"
"Orion 1.6 L Automatic"
"Orion 1.8"
"Orion 1.8 Diesel"
"Orion Diesel"
"Pilot"
"Popular"
"Prefect"
"Prefect 105 E"
"Probe"
"Probe 2.2"
"Probe 2.5"
"Probe GT"
"Probe III"
"Probe LX"
"Probe SE"
"Puma"
"Puma 1.7"
"Racing Puma"
"Ranchero"
"Ranchero 4000 Automatic"
"Ranger"
"Ranger 1800"
"Ranger 1800 Long XL"
"Ranger 1800 XL"
"Ranger 1.8 XL"
"Ranger 2200 XL"
"Ranger 2.2 XL"
"Ranger 2.3"
"Ranger 2500 D XL"
"Ranger 2500 TD D-Cab XLT 4x4"
"Ranger 2500 TD Double Cab XLT"
"Ranger 2500 TD Double Cab XLT 4x4"
"Ranger 2500 TD Super Cab XL 4x4"
"Ranger 2.5 D"
"Ranger 2.5 D XL"
"Ranger 2.5 TD"
"Ranger 2.5 TDCi"
"Ranger 2.5 TD Double Cab XLT"
"Ranger 2.5 TD Double Cab XLT 4x4"
"Ranger 2.5 TD Single Cab Montana"
"Ranger 2.5 TD Super Cab XL 4x4"
"Ranger 2.5 TD Super Cab XLT"
"Ranger 2.5 TD XL"
"Ranger 3.0"
"Ranger 3.0 Regular Cab"
"Ranger 3.0 Regular Cab 4x4"
"Ranger 3.0 Super Cab"
"Ranger 4.0"
"Ranger 4000 Super Cab 4x4"
"Ranger 4.0 Double Cab XLE 4X4 Automatic"
"Ranger 4.0 Double Cab XLE Automatic"
"Ranger 4.0 Super Cab 4x4"
"Ranger 4.0 V6 Double Cab XLE 4x4"
"Ranger 4.0 V6 XLT Super Cab 4x4"
"Ranger Edge"
"Ranger Montana"
"Ranger Montana 4x4"
"Ranger Regular Cab"
"Ranger Regular Cab 4x4"
"Ranger Single Cab"
"Ranger Super Cab"
"Ranger Super Cab 4x4"
"Royale Station"
"RS 200"
"Saetta"
"Scorpio"
"Scorpio 2.0i"
"Scorpio 2.3"
"Scorpio 2.3 Clipper"
"Scorpio 2.5 D"
"Scorpio 2.5 D Clipper"
"Scorpio 2.9"
"Scorpio 2.9 Clipper"
"Scorpio Clipper"
"Shelby GR1"
"Shelby GR-1 Concept"
"Shelby GT 500"
"Shelby GT 500 Convertible"
"Shelby GT500 Convertible"
"Shelby GT 500 Coupe"
"Shelby GT500 Coupe"
"Sierra"
"Sierra 1.3"
"Sierra 1.6 Estate"
"Sierra 1.6 Ghia"
"Sierra 1.8"
"Sierra 1.8 D"
"Sierra 1.8 D Wagon"
"Sierra 2.0"
"Sierra 2.0 Ghia"
"Sierra 2.0i"
"Sierra 2.0i Twin Cam Station Wagon"
"Sierra 2.0i Twin Cam Station Wagon Ghia"
"Sierra 2.0 Wagon"
"Sierra 2.3"
"Sierra 2300 GL Diesel"
"Sierra 2300 GL Diesel Estate"
"Sierra 2.3 D"
